pr,open_days,days_since_push,files,approved,author,title,url
32833,482,432,1,False,igobranco,chore(translations): Portuguese translation update,https://github.com/apache/superset/pull/32833
33424,432,425,30,False,amaannawab923,feat(Embedding): Embeddable Charts as per SIP ,https://github.com/apache/superset/pull/33424
33946,388,23,3,False,martimors,feat: Remove charts from welcome page for users without access to edit charts,https://github.com/apache/superset/pull/33946
34785,333,305,32,False,mistercrunch,feat: allow drill-to-details to a specific chart (optionaly) configured at the dataset level,https://github.com/apache/superset/pull/34785
34826,331,69,21,False,betodealmeida,feat: a manager for SQLAlchemy engines,https://github.com/apache/superset/pull/34826
35541,286,286,5,True,eschutho,fix(tags): filter system tags and rename get_tag to get_or_create_tag,https://github.com/apache/superset/pull/35541
35613,280,278,2,False,dankor,fix: Align Russian GeoJSON borders with internationally recognized boundaries,https://github.com/apache/superset/pull/35613
35754,272,124,6,False,gerbermichi,feat(embedded): Add setDataMask API method,https://github.com/apache/superset/pull/35754
35832,268,242,15,False,gabotorresruiz,fix(alerts): implement Slack channel pagination to resolve timeout issues,https://github.com/apache/superset/pull/35832
35867,264,9,9,False,CoderSxy,fix: drag a metric very quickly，the order is chaotic.,https://github.com/apache/superset/pull/35867
36094,249,30,1,False,JaeGeunBang,"fix: When using Slack V2, file is changed to BytesIO",https://github.com/apache/superset/pull/36094
36214,241,234,1,False,YousufFFFF,fix(timeseries): correct x-axis ordering for string and numeric-like dimensions,https://github.com/apache/superset/pull/36214
36350,231,223,14,False,X-arshiya-X,fix(explore): stop button cancels running chart queries in the backend,https://github.com/apache/superset/pull/36350
36606,217,118,1,False,nitishagar,fix(pivot-table): rename Subtotal to Aggregate ,https://github.com/apache/superset/pull/36606
36708,214,158,13,False,FelipeGLopez,fix(dashboard): refresh chart with latest configuration from database,https://github.com/apache/superset/pull/36708
36857,202,191,2,False,Khrol,fix: disable recaptcha for LDAP authentication,https://github.com/apache/superset/pull/36857
37014,191,32,5,True,jayakarkatika,fix: Apply timezone offset to convert local time boundaries to UTC,https://github.com/apache/superset/pull/37014
37229,183,13,7,False,reynoldmorel,fix(chart): Show metric label in tooltips,https://github.com/apache/superset/pull/37229
37222,183,13,4,False,hainenber,build(dev-deps): replace monolithic Lerna with lightweight `@lerna-lite`,https://github.com/apache/superset/pull/37222
37245,181,34,2,False,yayunn,fix(reports): ensure CSV attachments use UTF-8 BOM when encoding is utf-8-sig,https://github.com/apache/superset/pull/37245
37367,178,18,2,False,YuriyKrasilnikov,fix(embedded): initialize feature flags in embedded dashboard entry point,https://github.com/apache/superset/pull/37367
37396,177,23,18,False,semohr,feat(explore): support column labels in DataTable headers,https://github.com/apache/superset/pull/37396
37412,176,26,11,False,reynoldmorel,fix(dashboard): Resolve drill by wrong column header text,https://github.com/apache/superset/pull/37412
